TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD45RA: BB515-A-Compensated,CD123: PE-A-Compensated,CD49f: PE-Dazzle-A-Compensated,Lin Live/Dead: PE-Cy5-A-Compensated,CD90: PE-Cy7-A-Compensated,CD38: Brilliant Violet 421-A-Compensated,CD10: Brilliant Violet 605-A-Compensated,CD34: APC-A-Compensated,CD117: Brilliant Violet 785-A-Compensated,Index
3.778389,422419.8,320473.4,286,201605.7,87815.84,286,-42.31006,1266.647,543.9488,110.3355,68.97794,1944.177,1653.891,4406.164,826.4488,A1
5.95088,349482.2,241435,287,137716.3,61540.64,287,19.43512,522.9594,312.0897,325.9628,208.783,3132.008,1201.49,3374.414,306.4611,B1
6.964286,625382.1,283024,353,248882.6,114761.9,353,12781.51,2718.114,1246.548,1186.998,1020.103,6905.497,1452.54,18030.94,1980.127,C1
8.003303,488378.2,268525.6,326,176502.8,81007.36,326,280.4888,451.3551,2340.99,1355.252,15.38329,7166.167,1375.29,6434.231,993.0859,D1
8.933211,328645.9,223543,285,141204.3,81262.72,285,173.4161,446.1134,1603.621,706.3483,570.724,142.2834,918.9903,7054.838,1036.907,E1
9.889485,459713.4,289887.4,303,165237.3,80185.28,303,1366.384,1575.702,394.1733,639.8293,547.5268,2550.256,2382.513,14061.91,295.1431,F1
10.95651,233748.1,130567.4,282,127886.9,61183.36,282,100.8321,498.86,282.6614,633.7122,287.986,909.6882,908.0753,2870.978,924.0952,G1
12.14405,425829.5,263800.3,305,170911.5,80384.64,305,113.8281,1718.101,1198.097,367.6519,166.8403,2231.39,1584.134,5642.252,1246.994,H1
13.14238,609640.9,347240.3,324,236261.7,105170.2,324,8700.203,3144.601,309.3395,519.5972,305.5866,5782.27,1660.721,2879.817,1519.478,I1
14.07011,391197.8,252663,297,148200.4,70797.44,297,179.0686,795.5489,752.0344,327.4784,216.6875,378.643,369.0736,3811.57,667.7805,J1
14.95576,460167.1,248659,317,207293.7,100141.4,317,520.77,888.0987,1370.911,27.06836,156.5559,6765.613,1851.622,6390.806,835.1879,K1
15.94854,532686.3,250943.8,338,250002.6,118241.8,338,584.0544,889.8908,1781.967,707.9706,1010.459,5258.127,2743.014,15789.83,668.1895,L1
16.96039,649396,334653.8,344,288306,106174.9,344,143.9732,102.6061,482.9922,993.4307,350.5907,8565.864,979.1456,7120.369,796.1514,M1
17.83113,395042.4,287048.2,287,138634.1,64059.52,287,-84.15383,1599.769,706.5001,369.3562,374.3415,1012.607,1120.201,8263.536,711.4796,N1
18.90619,367003.2,205072,307,159203.8,79390.08,307,444.5506,854.527,1167.573,800.2814,552.421,1408.997,525.4985,7327.585,575.3349,O1
