TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD45RA: BB515-A-Compensated,CD123: PE-A-Compensated,CD49f: PE-Dazzle-A-Compensated,Lin Live/Dead: PE-Cy5-A-Compensated,CD90: PE-Cy7-A-Compensated,CD38: Brilliant Violet 421-A-Compensated,CD10: Brilliant Violet 605-A-Compensated,CD34: APC-A-Compensated,CD117: Brilliant Violet 785-A-Compensated,Index
4.102846,385842.7,263112.7,292,121171.1,57494.08,292,159.3678,801.0539,1180.01,707.3443,858.1938,600.3057,1250.051,5869.076,963.4508,A1
6.03832,463142.7,240438.2,328,139703.7,63800.8,328,7449.534,2007.589,1864.576,570.3798,286.1483,2131.061,1775.823,10089.31,502.052,B1
7.059223,281860.8,161170.2,292,146606.5,72505.44,292,166.167,1071.78,1452.281,1516.752,1116.498,1702.674,1578.463,7744.383,416.6324,C1
8.350137,489477.8,250052.3,333,198701.6,100290.4,333,10183.24,4065.104,1911.344,880.3205,220.8237,6165.861,1788.316,4221.127,811.8135,D1
9.284091,410754.6,224737,314,172215.5,85695.68,314,300.8345,1515.708,776.5522,762.3011,1002.561,3051.926,1333.988,8979.245,806.928,E1
10.6165,448175,249261.6,314,170310.5,82734.4,314,10047.21,5189.228,503.6794,780.8156,253.006,6234.62,2561.76,14501.2,1116.758,F1
12.02465,326712.5,167172.3,307,141157.7,69497.12,307,4375.378,1327.027,1204.643,628.8625,423.6255,1031.523,966.1356,10895.1,720.3442,G1
13.05153,433764.6,252948.6,311,201149.9,90790.56,311,376.9956,3159.142,1206.382,1196.874,7023.563,342.1729,1155.042,10518.03,1210.765,H1
13.87495,336142.2,197584.8,297,145821.1,70230.72,297,73.63641,1297.515,1238.77,1492.52,1198.109,670.129,1062.73,6360.11,982.5746,I1
15.06826,414374.6,228065.6,316,206371.9,86721.6,316,265.807,276.8503,2546.488,511.2319,198.4786,6041.102,861.2498,3125.151,833.0269,J1
16.82832,449827.5,255859.5,312,182954.7,88269.44,312,250.9096,1869.643,818.9874,313.1073,183.8428,7103.279,2831.14,7085.043,830.1469,K1
18.13449,449078.6,208289.8,335,174890.3,80489.92,335,6471.963,1083.533,1240.971,637.7943,284.7593,3220.859,2051.204,6178.291,878.4155,L1
19.02115,325934,217210.6,288,131706.8,69544.16,288,14322.76,3528.052,266.004,583.12,67.1091,2316.317,25217.12,9021.194,424.7629,M1
20.0108,306762.4,186368,289,130532.4,71531.04,289,473.6901,1814.983,1157.238,421.0569,1098.491,1005.186,2355.184,12251.5,690.3214,N1
20.97339,371158,210532,307,158584.8,81406.08,307,73.32317,2855.798,3612.908,1204.741,3141.854,997.1689,1082.51,8604.455,1826.553,O1
22.23634,570088.3,244120.8,364,238305.7,108696,364,11586.25,4823.367,1812.062,1003.256,605.847,10042.79,2878.08,15489.54,1104.311,P1
23.7437,291468.2,164053.1,296,189340.5,123791.4,296,272.8546,1041.5,32.7895,350.7225,93.52353,6330.19,1794.634,2725.028,898.3229,P3
25.4137,335931.6,174697.6,310,156225.9,80745.28,310,157.1752,2571.471,1213.401,1294.826,529.0386,1693.333,964.659,8279.304,1406.999,O3
26.37931,351579.3,213489.9,297,134388.1,68995.36,297,-14.07826,1704.521,558.173,694.0663,1604.782,610.6956,1990.62,7538.384,1120.024,N3
27.34987,445565.3,278445.4,308,194365.9,87083.36,308,441.9772,1081.023,2920.738,1370.09,1779.148,404.6449,1160.396,7901.447,702.0541,M3
29.04879,458182.5,242873.1,322,188530.1,86920.96,322,6022.066,958.3385,1497.592,443.4749,171.6978,5078.051,998.0122,6664.366,1459.767,L3
29.99563,391289,224299,313,147546.5,67101.44,313,346.4776,1378.649,3975.137,828.4663,2598.379,881.0413,2349.362,14686.97,352.2853,K3
31.09231,356200.1,260873.8,282,116826.7,59827.04,282,38.19192,198.9473,1222.912,643.3842,507.0666,231.9128,539.5242,4390.85,715.3589,J3
32.57993,394578,268801.1,293,197219.6,106179.4,293,-18.37772,1463.29,434.6669,381.1865,161.3558,2639.054,1694.095,6899.195,913.5693,I3
34.14003,382764.6,246059.5,294,157176.4,77250.88,294,372.5911,561.9957,1147.141,728.1019,130.1343,3702.361,323.2338,5394.125,855.1199,H3
35.33514,442042.2,261657.8,312,161159.6,78900.64,312,6944.677,2299.987,1350.854,229.4535,231.2398,3199.059,1398.79,12834.69,930.462,G3
36.44081,412035.2,250176.6,302,149500.7,76930.56,302,114.8482,1595.185,1074.473,594.4321,5236.693,753.9131,2619.417,8191.913,805.7971,F3
37.76118,390393.7,261527.8,294,100606.9,57445.92,294,271.9223,918.0972,1654.225,791.1411,2607.368,584.7049,960.8997,5514.494,265.9279,E3
38.8843,338528.3,184385.6,304,134230,69100.64,304,198.4426,719.9354,1705.344,518.9255,2482.285,615.2288,1749.096,4271.555,648.9071,D3
39.97346,336783.4,187171,303,149192.7,77537.6,303,241.8675,1672.097,473.3286,732.3978,100.6407,2426.065,873.9379,7466.43,1568.812,C3
42.03283,490871.3,307188,310,218584.2,101744.2,310,119.7112,285.9323,1641.846,337.3056,214.1803,9549.313,1603.076,9090.239,1223.423,B3
43.40107,374120.4,234327.5,307,165915.1,89017.6,307,298.6161,1188.13,1606.92,1007.075,3243.125,497.599,2909.83,12484.75,-66.67919,A3
45.1446,421538.5,234270.4,309,163378.1,84286.72,309,7349.289,2072.389,1275.303,1076.052,386.9387,2910.992,1997.057,10794.89,1296.199,A5
46.14785,371115.2,245567.8,290,138266.9,72413.6,290,327.7972,1986.185,1152.51,1297.612,656.6893,2199.209,1452.875,3912.649,1082.964,B5
47.07329,308758.6,187788.2,290,136700.7,75547.36,290,236.1962,481.6349,1269.235,660.5189,594.0099,210.9438,2098.645,3348.305,957.5673,C5
48.56863,307771.4,156629.8,306,179187.7,90183.52,306,313.352,-66.34026,1384.153,386.8906,134.9548,9415.512,1646.747,6833.916,441.5336,D5
49.5317,554056.9,249329.9,354,256143.7,117134.1,354,1145.781,1098.736,1314.098,832.191,957.7863,2074.197,1525.434,12516.37,1204.932,E5
50.59146,481684.2,310628.7,307,180770.9,82689.6,307,206.9122,595.8541,1318.206,852.0906,603.6573,695.7797,1155.423,8810.23,975.2869,F5
51.74757,544972.9,214189.9,368,249544,107430.4,368,6559.209,1101.098,1075.352,743.3746,291.3343,4717.48,2220.415,4158.501,1298.824,G5
52.69984,357632.8,229667.2,294,143923,70227.36,294,102.1401,1418.943,1063.031,619.5207,455.2497,46.33194,1057.744,7350.099,621.053,H5
54.04065,486731.2,306998.7,307,160158.3,76371.68,307,223.9457,1345.561,874.1141,237.8217,287.7425,6122.203,1204.175,5736.25,415.5406,I5
54.88426,301085.6,192455.2,285,127000.1,64907.36,285,263.2083,945.4078,831.0403,96.93906,309.5804,2202.195,1518.237,4650.752,775.0239,J5
57.08343,347844,237549.8,287,181319.6,92601.6,287,54.56115,1273.654,238.914,127.1418,2603.761,1316.905,1309.984,6097.117,1230.593,K5
58.40752,530488.4,291626.7,317,198154.2,98702.24,317,6435.635,6411.634,996.1887,870.8502,344.5515,4501.731,1094.207,4802.833,541.9523,L5
59.71274,424237.5,289337.4,297,122356.2,56946.4,297,156.2493,1369.697,975.7625,492.7243,951.4363,738.6404,1083.762,5118.98,631.5461,M5
60.96053,337181,185761,303,169119.7,96040,303,258.9978,1909.313,602.5494,919.8821,1982.147,1561.975,1132.661,5914.642,796.8454,N5
61.95727,305174.5,193465.4,288,146197.8,72390.08,288,148.9941,738.4646,2514.479,719.6102,1367.67,474.1982,1667.957,5834.578,99.88192,O5
63.08314,309140.6,209154.4,281,128213.2,69741.28,281,-19.59929,635.2473,2405.43,445.6346,59.87277,124.3893,1530.924,3756.571,1055.265,P5
64.61568,376462,194435.4,314,160576.9,82460,314,362.8401,1794.009,807.5131,941.2033,919.8369,1287.275,1108.968,6568.935,1237.499,P7
65.47836,699415.4,270035.4,379,348095.3,133762.7,379,611.2139,291.3521,735.9776,2201.182,72.87025,15309.3,2762.213,6538.286,2280.147,O7
66.84905,390856.7,190513.1,320,212558.6,102372.5,320,343.7178,267.7692,2506.797,174.501,89.10348,7178.5,1425.507,6300.25,583.1678,N7
67.88853,375218.3,250998.7,291,195041.8,99809.92,291,177.8647,1846.528,951.5438,834.7871,3807.92,540.9402,1417.835,8179.303,1265.848,M7
68.82117,397253,251331.4,301,132405,74019.68,301,355.628,1375.889,687.2866,751.778,2694.938,185.8135,847.0051,3448.896,362.5889,L7
70.25026,366211.2,202750.2,305,136086.2,72803.36,305,169.1197,1398.242,445.8437,114.3769,1250.841,2316.44,1254.674,5411.915,693.9593,K7
71.1937,466192.7,275122.4,309,168352.2,86661.12,309,414.1151,728.0919,876.9,172.2905,24.5754,1943.236,853.8204,6273.536,1045.59,J7
72.04037,392812.8,222529.4,307,153048.9,77080.64,307,228.6593,344.8345,1370.956,571.1797,339.858,8313.581,2117.494,7507.555,444.3488,I7
72.98135,371234.6,207653.6,304,166946.7,97815.2,304,417.8991,914.8334,1278.792,857.1993,2834.252,2035.35,1824.053,7315.925,1233.13,H7
74.01767,383893.3,223981,306,173748.5,78126.72,306,2.769155,1257.151,2279.286,901.0723,2089.012,609.705,907.2449,5087.7,430.2991,G7
75.10693,616334.6,404075.8,313,224717.1,104786.1,313,245.8196,1297.02,314.6766,629.8117,11.52258,8609.413,1946.231,8391.229,1849.328,F7
