TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD45RA: BB515-A-Compensated,CD123: PE-A-Compensated,CD49f: PE-Dazzle-A-Compensated,Lin Live/Dead: PE-Cy5-A-Compensated,CD90: PE-Cy7-A-Compensated,CD38: Brilliant Violet 421-A-Compensated,CD10: Brilliant Violet 605-A-Compensated,CD34: APC-A-Compensated,CD117: Brilliant Violet 785-A-Compensated,Index
2.15168,271982,196431.2,269,97402.27,48564.32,269,21443.39,-101.4197,1011.606,19807.5,170.0271,3065.787,1718.406,-147.2205,909.0544,A21
3.3852,378822.7,242592,298,159338.9,86285.92,298,32973.91,62568.39,1835.82,8995.956,529.9486,4424.538,2007.414,638.2735,958.8178,B21
6.370606,266391.1,141228.6,291,149120.1,71990.24,291,101.9997,794.0393,1359.138,360.1457,959.5527,119.1251,1952.473,6943.353,462.6591,N23
7.413931,338364.5,192780,299,142467.8,73388,299,521.7844,1793.086,390.923,1455.023,1007.61,229.4907,2055.693,6587.095,911.0371,M23
8.27928,289045,175056,289,117550,65766.4,289,74.08325,1193.296,895.2094,664.928,546.5714,255.5384,1598.344,8836.576,967.2556,L23
9.42976,396576.3,206257,316,224919.7,111913.8,316,1255.078,1694.937,892.1868,688.1567,2198.645,550.3414,3697.889,13911.38,1335.558,K23
11.49439,337772.4,212657.8,292,150039.9,74426.24,292,228.0229,774.1118,2109.706,994.0195,347.9794,626.2549,710.5494,6784.173,1259.038,J23
12.47798,370211.5,212850.4,307,143214.3,77460.32,307,500.4287,896.5138,949.4056,310.2148,1444.691,132.4429,1082.408,6537.693,1612.971,I23
13.66031,387156.7,200280.6,317,187974.5,87984.96,317,68.4743,822.5069,1323.114,1025.361,838.5718,2465.603,943.5026,9816.643,419.6766,H23
14.85841,354129.3,219568.2,294,157265.1,74934.72,294,192.1878,4170.771,175.5391,1136.112,1912.973,1238.287,2693.992,7732.159,1061.887,G23
16.12808,408593.9,192339.8,331,195031.3,100730.6,331,7521.127,616.037,1733.1,209.7247,479.7144,6122.194,820.929,3698.14,1192.628,F23
17.11973,471366.6,247859.4,340,269757.8,108281.6,340,20.32766,313.3908,1202.011,1249.338,16.76297,12603.04,1769.278,12448.03,2545.069,E23
18.50694,429103.6,267442.6,303,173576.5,78116.64,303,303.1162,2128.023,1423.583,2351.438,2692.445,1228.808,1745.924,7458.583,976.5441,D23
19.72576,364473.8,212629.8,306,152775.6,82229.28,306,266.8127,160.7231,1411.47,531.2897,335.2299,5406.613,2103.834,3447.636,1418.458,C23
20.98968,406514.8,237484.8,313,197925.8,69123.04,313,352.6704,1195.008,399.9424,967.2795,1233.74,1181.365,2193.528,6363.075,1553.016,B23
22.07447,337105,210843.4,291,183230.1,84665.28,291,357.0604,881.0596,306.6261,334.6606,38.2039,5391.147,607.884,4872.008,902.3838,A23
