TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD45RA: BB515-A-Compensated,CD123: PE-A-Compensated,CD49f: PE-Dazzle-A-Compensated,Lin Live/Dead: PE-Cy5-A-Compensated,CD90: PE-Cy7-A-Compensated,CD38: Brilliant Violet 421-A-Compensated,CD10: Brilliant Violet 605-A-Compensated,CD34: APC-A-Compensated,CD117: Brilliant Violet 785-A-Compensated,Index
2.275131,274048,207883.2,267,98114.23,59727.36,267,1117.17,429.979,8485.146,20711.04,48.29876,627.1203,835.5504,760.64,515.3353,A21
4.310549,272675.9,201956.2,269,94569.21,60072.32,269,6007.336,398.177,744.7328,25177.71,-66.1515,2004.812,1213.594,10.25637,581.8846,B21
7.077874,325192.6,192764.3,293,124746,73738.56,293,271.5226,1240.54,1331.291,1091.039,1125.994,556.6519,509.2789,6051.782,799.8748,N23
8.142869,368491.8,230217.1,303,132811.5,67286.24,303,104.1966,881.8412,1444.404,502.7651,602.8057,327.8019,1557.633,6802.719,830.8578,M23
9.168365,278094.2,183939.8,277,142409.3,72115.68,277,157.5363,300.3699,621.3285,1035.682,996.5168,835.3411,1663.054,5784.067,873.1032,L23
10.35703,325668.1,200947,294,123252.4,60178.72,294,71.96169,1064.843,780.0367,912.7211,123.6963,432.66,1600.129,6336.714,865.2662,K23
11.9505,400797.4,244543,302,139524.8,74794.72,302,345.5875,1380.721,583.1412,1256.168,862.1516,656.4726,2235.871,6220.938,1714.962,J23
15.75529,334013.6,221431.8,289,150440.7,80103.52,289,210.0433,711.8054,1878.552,1051.365,807.3896,466.4958,1030.681,6857.584,1215.571,I23
16.9031,321655.8,184522.2,301,154229.2,84426.72,301,331.4774,1334.457,1055.09,2151.423,1790.588,143.7725,1492.341,5737.79,659.1411,H23
17.82403,480885.5,253676.6,320,228236,104416.5,320,293.5075,1023.175,448.103,545.8111,-4.996219,7519.31,1869.825,9450.866,1667.195,G23
19.11551,685061.7,413482.7,326,264591.2,126093,326,400.355,386.4246,794.8051,1629.077,415.3297,9204.195,1982.026,2961.591,1152.375,F23
20.52415,302270.2,172083.5,294,135036.4,75802.72,294,7234.223,2166.981,1959.579,250.3085,283.4185,212.0765,3888.976,11375.8,1231.087,E23
21.67977,394690.5,245621.6,301,136581,75031.04,301,220.1292,1018.858,1530.141,1152.779,1108.22,539.4507,1503.871,7592.349,489.6226,D23
22.56743,384776.7,229841.9,301,163438.2,91956.48,301,183.618,1206.556,178.9864,945.3341,970.5023,503.9472,2220.328,9825.212,1056.82,C23
23.53262,484473.9,300089.4,312,133614.2,61997.6,312,184.7472,-37.98553,1738.293,155.1367,163.7324,4676.521,1719.772,4479.179,524.7767,B23
24.5152,281720.5,193846.2,275,119565.5,64152.48,275,6579.788,1951.017,1588.961,738.3878,216.1004,675.6031,9749.28,11660.56,294.739,A23
