TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD45RA: BB515-A-Compensated,CD123: PE-A-Compensated,CD49f: PE-Dazzle-A-Compensated,Lin Live/Dead: PE-Cy5-A-Compensated,CD90: PE-Cy7-A-Compensated,CD38: Brilliant Violet 421-A-Compensated,CD10: Brilliant Violet 605-A-Compensated,CD34: APC-A-Compensated,CD117: Brilliant Violet 785-A-Compensated,Index
3.733097,434218.4,232144.6,319,170508.1,85910.72,319,280.0121,964.5787,698.0372,588.168,39.1927,12595.59,1949.347,5389.122,804.3368,A1
6.009726,337404.3,218075.2,290,125458,60148.48,290,182.9223,492.7682,1450.761,128.4698,2175.251,562.7691,1304.56,4899.503,653.9452,B1
6.897131,555875.1,288584.8,326,264246.7,122493.3,326,238.6583,2828.053,1586.259,1488.926,4076.504,1309.435,3091.98,17085.43,2131.583,C1
7.850948,439356.5,276535.8,304,151678.4,74914.56,304,138.0079,-66.12788,1947.143,359.7899,2653.99,692.0319,1216.776,5909.668,769.7423,D1
9.228674,340890.8,225713.6,289,113549.1,59619.84,289,155.3926,377.2957,1726.139,820.1704,361.1033,357.1704,480.9361,3117.869,688.8898,E1
10.42448,362144.7,246252.2,290,138901,69510.56,290,-114.7201,764.9268,1426.601,1087.998,1744.848,683.7926,627.1099,6766.584,746.0698,F1
11.60573,400953.2,257209.1,298,153457.2,86880.64,298,350.2346,1130.69,1918.146,1858.677,2418.555,1347.262,1931.611,4991.343,708.9042,G1
12.60018,394010.7,230246.2,309,176623.8,95400.48,309,6530.064,1607.197,1114.69,415.4176,572.1999,2849.694,1160.079,11761.51,1166.417,H1
13.72105,390571.5,211797.6,314,172376,88828.32,314,146.8165,1464.816,2786.629,961.9094,2970.16,603.5161,846.6031,4137.878,1149.721,I1
14.91062,358514.1,213484.3,300,143477.3,74964.96,300,276.5089,1045.529,1752.999,1262.547,1516.696,721.092,2003.688,10617.78,584.0397,J1
15.9137,447103.9,292454.4,300,150577.6,68485.76,300,418.7484,774.1842,1219.226,239.5386,2140.44,1713.905,801.7616,7195.168,1124.795,K1
17.20167,364645.4,235611,293,141039.7,72599.52,293,164.1547,2731.009,488.458,692.4427,362.7026,2700.128,1146.268,5387.163,958.6678,L1
18.03107,530114.3,285113.9,325,231691.3,98358.4,325,246.0038,1235.661,-282.8357,510.875,554.0487,6674.776,2874.002,8195.5,852.7999,M1
19.00994,340058,195412,297,144903.1,75504.8,297,273.3521,1571.036,1810.193,510.5966,158.7101,3573.219,1596.969,6190.451,754.3229,N1
20.03509,441422.5,258761.4,310,203749.8,96068,310,386.8088,884.3049,2540.747,1458.231,2549.789,941.6561,1305.683,10650.59,800.7869,O1
