TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD45RA: BB515-A-Compensated,CD123: PE-A-Compensated,CD49f: PE-Dazzle-A-Compensated,Lin Live/Dead: PE-Cy5-A-Compensated,CD90: PE-Cy7-A-Compensated,CD38: Brilliant Violet 421-A-Compensated,CD10: Brilliant Violet 605-A-Compensated,CD34: APC-A-Compensated,CD117: Brilliant Violet 785-A-Compensated,Index
60.00718,515305.4,242556.2,336,216998.6,95109.28,336,6703.345,1195.485,1153.533,903.4108,195.5129,7263.064,1053.192,12075.29,1248.357,H5
61.20238,414069,242048.8,307,178843.5,90545.28,307,168.3503,1120.962,755.0583,1216.492,721.0424,3366.011,757.842,5145.616,1099.753,I5
62.36087,310086.6,200828.3,288,116609.5,63775.04,288,237.135,339.0091,1285.741,575.7311,768.8488,2189.572,1200.726,5003,1106.583,J5
63.32616,320229.9,200533.8,291,124531.7,65204.16,291,340.5931,872.9922,958.1588,1207.187,1444.395,743.5687,1244.663,7716.229,764.653,K5
64.23486,432737.8,227687,319,160863.3,85249.92,319,9091.739,5121.507,1148.865,746.6846,492.1627,2001.122,2396.597,9435.611,727.9429,L5
65.17977,400674.5,275691.4,295,121840,64192.8,295,302.4807,879.8497,1900.188,639.2062,2447.115,316.4918,1510.531,7034.129,945.4525,M5
66.03362,284732.1,161565.6,297,144347.6,74668.16,297,20.97108,-213.5022,4309.564,531.3276,199.6138,5578.331,1477.956,2410.351,780.3723,N5
67.1856,372664,221308.6,301,124523.5,65098.88,301,218.4566,1342.785,566.8431,585.8158,676.5994,913.5018,895.0193,4096.694,391.9222,O5
68.7959,358576.2,226231,296,132331.4,67385.92,296,176.5783,813.9232,1194.738,808.7327,1403.651,732.0482,936.3481,3610.93,570.0687,P5
71.15308,320721,196817.6,293,136159.6,77280,293,-4.582061,1047.658,3129.153,1002.718,585.1165,678.4041,1680.865,6253.369,688.8927,P7
72.66862,426699.3,280511.8,300,191007.3,82240.48,300,239.5032,1325.287,806.2738,288.8668,1118.153,862.9888,790.2529,6919.385,436.7215,O7
73.89188,346409.8,200352.3,300,141353.7,72667.84,300,422.8312,1421.786,1174.739,400.4987,2128.519,1853.581,1214.682,6363.801,610.875,N7
74.75121,494263.6,247945.6,330,191860.5,96997.6,330,183.815,996.6877,845.2937,595.846,100.6181,8076.226,1637.533,7711.009,1185.995,M7
75.94076,362237,214424,300,148612.5,81653.6,300,281.1372,1055.256,3392.329,805.5637,3263.05,411.9727,542.4316,4565.347,1552.232,L7
76.8765,508901.6,312112.7,319,208484.3,91246.4,319,181.7998,1249.234,872.7874,286.4285,234.5388,3663.138,672.4191,4963.317,625.6815,K7
77.72369,355108.1,221929.1,295,136255,71706.88,295,212.1451,2392.383,2255.611,852.5555,1444.348,740.6953,1663.07,7855.093,1057.374,J7
79.38403,342818.7,199198.7,300,154432,76662.88,300,164.1527,504.0911,904.1843,590.3713,234.7361,3434.401,2290.831,6070.917,1047.755,I7
80.4014,454787.8,214864.2,338,193129.6,82890.08,338,444.831,212.8371,874.7823,984.8059,339.3593,7872.415,1532.121,2480.138,1767.832,H7
81.53307,437633.2,230748,324,182945.9,97280.96,324,8775.415,8363.181,1418.988,1281.739,782.8044,7243.916,1741.705,13837.49,972.3696,G7
82.69818,430174.8,247172.8,311,152081.2,72966.88,311,167.4232,-13.92158,1566.95,407.9045,120.3801,9931.841,2132.642,4335.19,480.5789,F7
83.76256,372321.3,214594.2,304,145661.8,70325.92,304,1932.219,1453.229,897.6354,746.4762,372.363,2683.151,1291.703,9884.939,905.499,E7
84.62515,440590.4,233750.7,322,201778.2,97555.36,322,14093.01,59393.33,1909.609,1931.898,232.7019,13418.22,2209.657,4863.347,1262.694,D7
85.60596,337599.7,210126.6,294,122880.9,62640.48,294,-7.884322,487.0526,705.7391,269.8214,795.6694,798.6732,2031.977,3848.008,777.9709,C7
86.87902,406010.8,268809,296,187664.6,79018.24,296,184.3204,127.8161,853.3241,286.8693,168.6869,10005.48,1984.087,6165.952,942.2369,B7
87.9138,704697.6,328824.2,349,331246.9,143533.6,349,18500.6,4554.105,10614.45,1592.849,663.447,11772.82,2413.989,7558.961,1511.24,A7
89.51549,314863.7,195711,290,140075.1,73506.72,290,143.3216,1417.952,1087.596,475.7165,1153.495,1642.427,1523.531,5617.342,461.9402,A9
90.8708,469739.7,287703.4,308,177764.5,80860.64,308,3270.535,1472.558,1469.966,445.3067,411.116,4127.761,1436.974,10775.95,465.8422,B9
91.94032,438196.7,229810.6,323,161198.3,87175.2,323,147.5735,2408.749,906.2528,487.7281,281.6271,6544.176,495.1776,3940.947,708.5568,C9
92.81489,459638.5,241809.1,327,194783.3,98484.96,327,249.2385,557.6338,1878.646,751.024,550.8228,4376.157,1913.541,7094.125,1307.123,D9
93.66824,392845.3,218972.3,306,158692.9,79861.6,306,7885.915,1335.756,1624.009,493.668,586.4973,2561.711,619.8698,14208.4,736.3777,E9
94.81352,347691.6,171763.2,314,159409.5,74740.96,314,202.9329,115.5365,2012.775,423.3154,365.5275,8627.197,406.8851,3722.763,1226.1,F9
95.77089,366938,216627,304,148191.2,72916.48,304,397.3629,1237.729,1019.205,645.4748,387.6975,4945.341,1399.272,5193.174,947.0074,G9
96.77139,466937.9,232429.1,329,214886.2,97810.72,329,654.7213,985.9597,719.5094,499.6222,131.3257,5859.922,1648.526,7074.504,1003.351,H9
97.93195,359963.3,203319.2,306,141441.2,67649.12,306,184.2446,603.9629,728.7542,727.0135,255.0825,520.551,930.9318,4265.922,1240.02,I9
98.88729,364633.7,232381,294,138553.5,81400.48,294,341.9519,1343.856,1378.196,1045.442,2695.524,501.6491,1644.49,7965.492,1063.143,J9
99.91454,350208.6,216145.4,296,102374.9,55185.76,296,394.0191,477.3245,820.6692,327.2759,1357.742,585.7584,1275.504,4764.862,1227.829,K9
100.8651,450179.6,320796,293,173862.1,82650.4,293,7641.396,1763.878,972.4802,209.8994,568.582,1784.878,1846.929,15827.91,856.3883,L9
101.8182,421030.1,247802.2,307,168287.7,82181.12,307,371.7892,796.6785,973.4989,296.5181,464.7838,2121.226,1326.075,7040.004,1445.681,M9
103.0033,403616.8,201824,321,166997.9,84717.92,321,149.0664,1369.217,1432.077,950.2919,395.7617,3751.669,1063.222,5073.733,1204.267,N9
104.5594,285491.1,174061.4,287,137949.6,71774.08,287,174.062,1129.152,750.1453,257.0914,111.1695,2973.158,1400.742,3983.427,425.3809,O9
105.421,519639.8,270744.3,324,283611.4,126071.7,324,238.3302,547.0897,3721.988,621.3939,-78.2392,15144.43,1927.308,10398.45,1644.799,P9
107.8065,451316.8,248561.6,324,151455.3,70125.44,324,8139.064,927.2708,2397.177,531.5916,143.1379,5040.473,764.2859,7865.843,1704.207,P11
109.6864,377943.6,207425.1,309,177998.8,93472.96,309,3060.378,1392.937,1803.314,962.8351,-24.18118,3855.395,1179.653,6954.445,1604.478,O11
