TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD45RA: BB515-A-Compensated,CD123: PE-A-Compensated,CD49f: PE-Dazzle-A-Compensated,Lin Live/Dead: PE-Cy5-A-Compensated,CD90: PE-Cy7-A-Compensated,CD38: Brilliant Violet 421-A-Compensated,CD10: Brilliant Violet 605-A-Compensated,CD34: APC-A-Compensated,CD117: Brilliant Violet 785-A-Compensated,Index
2.343726,673421.1,343263.2,334,355931.4,175093,334,1557.042,1683.735,749.4324,294.8357,189.5881,5837.93,1163.118,3693.965,2509.976,A1
6.04768,476773.3,305894.4,307,140446.1,68671.68,307,348.3671,412.8409,1016.81,1699.514,606.7755,1309.306,1315.478,5962.045,1268.779,B1
6.991428,476890.2,266467,312,167140.4,93984.8,312,3774.835,561.4354,1543.169,138.55,215.0996,5463.02,1895.726,4674.315,850.1791,C1
8.045657,419478.5,210865.8,323,191259.7,94804.64,323,417.9876,1881.928,1807.32,1136.891,2335.355,2438.495,1568.935,11028.7,673.8289,D1
9.492309,370761.9,215344.6,302,194365.3,97740.16,302,193.442,377.9406,1540.234,429.3424,174.6731,6154.769,912.1526,4541.445,1553.907,E1
10.52713,429049.6,209671.8,325,186933.4,96022.08,325,6916.335,178.0076,1756.22,459.0728,295.1537,5780.674,2531.822,8343.176,1297.938,F1
11.56699,329962.7,190216.3,297,138664.2,80833.76,297,-2.877159,1245.775,1238.695,769.1997,1464.05,476.1674,1251.422,10971.33,158.0191,G1
12.40086,459884.1,341687.4,293,214394.7,93672.32,293,101.8502,533.8512,774.4708,37.97315,443.0397,921.6801,800.6271,3107.632,492.6407,H1
13.46414,368179.3,219711.5,300,136825.2,71509.76,300,179.4445,1338.253,1194.559,1128.947,2979.73,566.7069,731.2283,5203.772,488.2389,I1
14.29427,581488.9,304893.1,331,316657.3,145147.5,331,645.7104,1760.534,1218.713,399.6931,2432.925,3209.035,2870.248,18842,3118.538,J1
15.46714,275453.7,159925.9,287,122117,69071.52,287,370.3762,1307.655,1246.338,590.2084,1595.599,1799.704,1177.902,9986.526,1055.099,K1
16.56394,534050.4,267896.2,331,219600.9,102758.9,331,1579.108,1039.182,351.7099,502.0738,287.0904,6409,1103.629,2865.024,1239.237,L1
17.47874,365770.8,182403.2,317,135704.3,71425.76,317,93.91306,531.9451,237.5232,513.7114,116.4761,1359.93,1230.592,5571.516,842.9211,M1
18.52849,369900.3,242057.8,292,124621.3,66487.68,292,547.27,725.3657,2293.151,889.3127,1396.568,748.965,1703.696,5386.142,191.3672,N1
19.90911,360965.8,192715,310,194326.9,98787.36,310,1242.532,692.8178,858.6545,274.2106,341.5987,4905.525,2084.073,10820.05,1127.274,O1
21.05806,542839.4,279826.4,330,198210,96846.4,330,7465.394,4817.71,1075.38,739.568,593.7737,6133.002,2105.376,15036.29,879.1447,P1
22.66518,506905.4,314680.8,307,332626.9,169193.9,307,33.37819,-228.0955,2159.831,722.6223,-43.95171,19735.16,2864.103,8224.938,1726.65,P3
23.71763,440182.2,321501.6,290,152003,73095.68,290,-18.82062,885.3344,1378.382,657.3551,2355.066,476.5242,1517.194,6358.084,205.6653,O3
25.17035,443308.9,315442.4,292,186723.1,93811.2,292,68.0873,692.8737,1264.237,361.2033,1125.534,1383.24,1393.817,8523.021,1665.492,N3
26.2971,353403.8,227781.1,292,154136.8,75041.12,292,85.61452,1018.279,787.8876,193.6158,1076.507,1854.372,932.544,8946.806,675.6921,M3
27.2548,392612.1,264684,293,116804.7,54877.76,293,76.83858,1653.913,686.0329,678.486,933.3024,1064.885,1291.635,6887.761,1041.65,L3
28.16224,447612.7,235037.6,319,169841.7,81537.12,319,370.2629,1233.86,718.8811,490.0475,307.2484,4321.23,1558.844,6111.009,1414.928,K3
29.09407,402177.8,246463.8,304,124592.3,63754.88,304,391.8584,600.2651,1534.775,994.638,662.6298,438.8664,1529.625,7924.694,1467.024,J3
30.28957,499052.7,268260.2,318,163335.2,78428,318,4740.909,528.5274,1007.89,592.4152,9.645098,2913.641,1656.884,3366.062,573.5105,I3
31.21392,329566.7,208159.8,290,146886.4,73942.4,290,2880.375,1935.307,1602.244,328.1564,970.1537,1287.721,2188.856,12134.4,250.3787,H3
32.54163,598275.8,244463.5,368,258964.3,95812.64,368,487.2505,263.4347,1798.094,830.6276,72.92456,11098.09,2068.765,8069.135,1540.412,G3
33.88455,442242.9,235074.6,317,174995.1,89016.48,317,6148.666,1169.722,2221.448,655.0965,516.6588,3870.035,1069.786,6691.208,1711.189,F3
34.7721,376277.1,253030.4,293,137401.7,73336.48,293,5629.565,647.2365,1214.562,1743.592,35.6022,8288.42,17888.16,4369.044,874.3947,E3
35.67739,325677.9,205008.2,289,117736.7,65513.28,289,313.4778,808.432,2845.561,402.9037,1114.997,850.2834,1119.511,5123.773,586.8073,D3
36.73641,366103.2,172491.2,321,178624.4,88356.8,321,7505.147,6842.796,1499.88,735.1661,-50.05164,5871.674,1892.48,7640.438,551.6945,C3
37.63568,504988.4,254007,330,268553.7,120325,330,4658.244,2223.368,694.8831,942.004,189.3719,5082.9,1671.127,5928.102,1159.13,B3
38.53284,438430,286143.2,301,142893.6,68012,301,206.8647,1800.71,948.0863,265.7468,500.406,1132.459,1089.539,6397.978,971.066,A3
41.04927,346289.4,197973.4,302,159427.9,82268.48,302,404.2321,735.5002,2667.333,702.2198,749.7029,242.9872,1188.911,7378.577,662.8793,A5
42.15166,314839.1,178712.8,306,180033.6,98480.48,306,525.9313,1211.442,1447.952,455.9741,85.66364,4032.662,897.1286,7837.518,1467.742,B5
