TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD45RA: BB515-A-Compensated,CD123: PE-A-Compensated,CD49f: PE-Dazzle-A-Compensated,Lin Live/Dead: PE-Cy5-A-Compensated,CD90: PE-Cy7-A-Compensated,CD38: Brilliant Violet 421-A-Compensated,CD10: Brilliant Violet 605-A-Compensated,CD34: APC-A-Compensated,CD117: Brilliant Violet 785-A-Compensated,Index
2.846983,393778,302630.7,281,161530.6,87837.12,281,546.4823,457.7135,5506.089,47072.29,882.4489,-55.38627,697.2972,-462.4934,580.4839,A21
4.285189,262281.6,184560.3,270,100981.1,60183.2,270,7902.076,247.6881,1044.608,22434.36,517.4446,580.7461,1785.555,-327.5154,1530.46,B21
7.415154,413912.8,252601.4,304,139115.7,70469.28,304,140.7052,1360.693,1313.147,1032.839,1649.278,605.3792,1775.35,6103.865,491.8463,N23
8.865542,290258.8,170988.2,289,163068.3,87804.64,289,241.7153,495.6244,358.5304,416.1671,383.4698,98.61831,1853.61,7053.529,1006.727,M23
9.909085,451592.4,258605.8,316,185866.5,79313.92,316,241.3353,979.6675,1995.917,1275.224,410.2603,489.8179,930.861,5148.432,544.5782,L23
12.35248,378594.1,242224.6,296,150285.3,75477.92,296,295.3449,1853.202,1439.89,1490.247,1050.424,506.4299,2067.006,10126.47,1531.27,K23
16.09737,391487.7,248682.6,297,170974.7,84757.12,297,189.2312,2095.242,702.612,1544.547,1625.726,814.6912,1657.53,8563.528,1277.04,J23
18.30131,394240.4,250511.5,298,133959.5,63304.64,298,154.2967,1009.282,1624.505,1397.113,1898.251,295.6324,1555.098,6768.492,584.3068,I23
20.75784,453252.8,275382.3,305,271525.6,117719.8,305,368.6497,683.1323,433.8991,667.167,-59.10897,6847.446,868.5714,6062.243,1367.801,H23
21.97135,717267.6,382925.8,340,323223.3,150427.2,340,306.2871,8415.822,573.2285,194.278,92.58897,4528.983,988.1519,4832.787,1330.017,G23
22.92607,338950.4,187320,305,141836.6,77846.72,305,2208.361,2166.825,496.9988,422.6817,441.4448,1749.676,813.3798,7579.101,1258.304,F23
24.32361,377455.5,216992.2,305,155979.5,80242.4,305,171.5922,617.606,328.704,411.2697,141.3355,3931.669,1453.077,3808.465,426.6548,E23
25.80913,409127.4,234469.8,310,146830.9,71951.04,310,81.5917,850.0287,570.5234,1339.751,1079.601,573.8327,1404.733,7220.111,951.2996,D23
27.07542,398780.8,245044.8,303,161858,82360.32,303,258.2234,426.476,645.7551,599.3199,263.5609,1889.761,457.8556,2659.877,808.7214,C23
30.10941,394561.5,259165.8,295,134504,70040.32,295,5035.607,1837.849,810.0495,706.701,105.6854,3763.805,2163.649,11104.23,1240.516,B23
31.27554,329247.5,212380,290,137547.6,70116.48,290,8709.362,719.1523,549.153,1138.807,332.8952,15817.97,7615.452,3366.155,1315.283,A23
