TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD45RA: BB515-A-Compensated,CD123: PE-A-Compensated,CD49f: PE-Dazzle-A-Compensated,Lin Live/Dead: PE-Cy5-A-Compensated,CD90: PE-Cy7-A-Compensated,CD38: Brilliant Violet 421-A-Compensated,CD10: Brilliant Violet 605-A-Compensated,CD34: APC-A-Compensated,CD117: Brilliant Violet 785-A-Compensated,Index
3.706274,419877.2,231177,317,191640.1,79904.16,317,391.0349,269.0387,2014.125,379.1188,126.7118,3561.699,1550.731,2539.696,1043.348,A1
6.14256,302139.6,202622.6,285,140624.8,77510.72,285,25.13287,1661.196,873.149,345.7746,324.9892,3239.885,1211.481,4355.611,779.0883,B1
7.717143,455124.4,317460.7,299,120455.8,58500.96,299,454.5643,353.8938,1077.295,1000.579,874.7219,1144.573,1496.38,5724.689,960.6348,C1
8.613794,364552.1,231365.1,293,189191.9,90964.16,293,259.9414,3388.106,1517.194,602.695,1438.044,746.5756,1133.829,5739.498,1085.43,D1
9.567337,354957.6,215538.4,298,169452.8,86186.24,298,220.7776,623.0106,519.0848,435.0296,307.0856,576.3278,1003.117,4483.049,687.0422,E1
10.75653,445178.3,257715.4,311,185549.3,82408.48,311,394.9174,1646.078,-6.653484,178.1911,289.8089,8730.206,1739.092,4928.473,1050.347,F1
11.69803,606703.9,281485.1,345,350271.3,153305.6,345,5133.271,2281.296,1081.769,1138.482,152.2577,3816.764,1189.317,3291.044,501.1752,G1
12.87013,340321.8,199537,300,179812.4,95060,300,60.04385,1713.635,1072.884,218.4236,187.3834,1643.392,768.3469,5296.396,693.7618,H1
13.854,439993.4,262232.3,311,138125.3,74052.16,311,367.7227,526.6691,1552.333,962.9272,8690.524,1262.732,966.6082,6822.221,96.65762,I1
14.78538,359753,244059.2,287,103729,55065.92,287,153.8634,1326.122,1643.254,1006.168,2818.633,918.3835,1692.282,7094.906,888.548,J1
15.6593,314116.9,196537.6,290,133910.1,70423.36,290,100.2458,421.8774,747.0233,356.6692,461.3315,2214.381,1157.161,3440.899,995.6927,K1
16.98569,328917.3,180530.6,303,149664.2,66215.52,303,223.0285,1962.813,4399.52,1612.424,1810.092,2509.475,2059.538,5471.839,695.1266,L1
17.88099,537847.7,330351.8,313,245688.8,116838.4,313,353.0108,423.7535,1822.383,360.2243,300.0899,10342.37,1128.394,5080.7,1354.884,M1
19.20953,575311.2,318669.1,325,216207.3,105174.7,325,526.986,422.2246,839.4271,172.4227,194.9658,3796.755,1558.529,3706.009,747.1312,N1
20.17142,713266.7,325385.8,361,363732.1,144144,361,336.4796,294.7056,1195.077,746.8696,278.1714,11660.92,2318.022,3358.995,1393.215,O1
21.21326,495267.2,232071.8,336,212780.6,105175.8,336,9164.618,1149.717,3111.326,1064.053,317.0418,4273.177,2312.45,11058.98,1784.667,P1
22.87233,332171.7,194882.2,303,141829.1,79816.8,303,174.6192,1003.47,2274.802,753.816,719.0211,165.6296,1488.996,8053.17,917.8854,P3
24.15975,557705.8,297193.1,333,252437.9,117111.7,333,9811.988,2295.545,685.7669,1517.832,40.98642,4273.195,1549.735,3788.34,825.5731,O3
25.22136,413364.2,300081.6,287,142148.4,74258.24,287,194.0619,1122.674,631.6216,249.1462,188.6019,2090.63,1595.078,8799.532,1560.49,N3
26.35187,453693.7,262613.1,312,225468.5,111917.1,312,388.9201,562.0964,1191.255,754.5023,-11.47621,13293.89,1936.575,4398.58,583.8864,M3
27.39832,505644,254537.9,328,286094.9,144126.1,328,304.6076,762.4193,1650.26,1559.682,548.2695,12842.25,1611.964,6067.245,1047.025,L3
28.36523,345185.4,207662.6,299,159087.5,91381.92,299,714.7368,912.9048,768.0031,484.0697,755.2701,1362.024,1509.395,5743.448,339.6153,K3
29.24775,456718.3,247005.9,327,206967.5,93244.48,327,213.2354,370.3427,1054.164,805.5236,105.0604,10413.87,2749.203,4891.98,1411.88,J3
30.56005,417012.1,242922.4,308,145058.1,68856.48,308,311.1907,739.7484,382.8009,739.4019,104.3743,3015.905,2768.09,6762.668,1059.781,I3
31.48433,496565.6,332915.5,303,256155.2,113762.9,303,222.1879,453.9426,455.998,948.52,-30.23842,8972.834,1120.467,3674.158,1088.613,H3
32.68986,316136.3,189901.6,292,126320.5,63934.08,292,424.0298,3477.546,828.4772,637.0554,554.9464,2047.272,1930.445,8119.481,-25.81079,G3
34.07047,375455.8,235788,297,134248.1,73550.4,297,11104.42,49578.47,1791.844,1445.964,-16.23793,15090.88,2345.755,5168.519,916.5777,F3
34.94602,554397.4,261560.3,346,242953.9,114341.9,346,8536.15,1215.045,1707.506,928.3195,216.3685,4519.192,1168.999,10539.43,1632.318,E3
