TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD45RA: BB515-A-Compensated,CD123: PE-A-Compensated,CD49f: PE-Dazzle-A-Compensated,Lin Live/Dead: PE-Cy5-A-Compensated,CD90: PE-Cy7-A-Compensated,CD38: Brilliant Violet 421-A-Compensated,CD10: Brilliant Violet 605-A-Compensated,CD34: APC-A-Compensated,CD117: Brilliant Violet 785-A-Compensated,Index
2.248846,264980.8,188490.4,269,102916.2,63332.64,269,26459.14,690.832,86.80674,6102.495,308.5909,1214.67,851.3098,-242.8327,542.5596,A21
3.621223,396767.1,295775.2,286,152608.8,75568.64,286,208.2747,389.2976,7204.886,34539.4,322.2218,1844.912,523.279,-106.6847,1275.055,B21
6.448206,308973,179550.6,294,159658.8,85542.24,294,124.4538,1010.405,1155.156,1432.18,1476.111,159.2994,1914.749,6739.775,1482.393,N23
7.453177,358584.1,202435.5,303,155261.5,83713.28,303,6222.926,2460.872,2332.375,1094.557,79.41682,292.1554,2248.161,10288.99,1408.152,M23
8.362034,317896.9,195415.4,290,191017.8,86777.6,290,595.433,1676.621,921.6,304.8124,1778.344,647.7302,1562.418,7227.133,1680.556,L23
9.318389,265546.8,144373.6,290,134999.4,64710.24,290,482.4578,3480.982,821.6747,1367.307,2357.828,773.0526,2609.888,8073.601,282.0159,K23
10.58235,349290.8,252584.6,281,165480.6,74052.16,281,257.6195,387.7451,1197.426,527.077,610.0714,417.9163,1324.72,4724.627,896.8168,J23
15.53329,310665.4,205051.8,285,123000.8,65565.92,285,178.017,886.5311,688.2188,495.3977,213.0503,460.3258,902.3662,3433.278,950.7285,I23
16.62027,290238.1,187978.6,283,123916.6,69013.28,283,225.7268,1911.103,232.8074,660.4621,1031.534,2489.32,1852.88,5759.247,344.1749,H23
17.83561,351480.8,203381.9,303,164467.6,79086.56,303,337.6348,1613.13,1608.188,1440.242,732.8844,1312.967,1344.903,5895.724,1932.256,G23
19.35728,391009.2,241388,301,183429.5,99149.12,301,390.3855,2255.044,1194.342,329.9938,-39.04633,4871.258,1100.315,6254.405,338.3907,F23
20.39144,338845.5,205190.7,298,145246.4,79934.4,298,297.6843,587.3341,1414.709,614.9503,502.5359,305.4342,1142.509,5963.528,573.4238,E23
21.96287,402032.4,261897.4,297,138544.7,76003.2,297,181.8677,923.3011,1291.927,290.7444,1342.18,857.0262,1526.151,9058.727,956.2155,D23
22.82151,383797.7,242100.3,298,146160.6,75026.56,298,267.4024,1650.608,1360.563,1408.525,1428.404,668.6299,2296.354,8609.037,822.6501,C23
23.65463,363413.5,223205.9,296,149493.5,79521.12,296,2152.509,1770.739,1794.173,15.91236,1.977186,3302.575,1688.538,13686.45,1666.5,B23
24.79825,652969.5,304973.8,346,211468,96810.56,346,2557.472,817.3204,1292.165,366.0661,363.384,3826.061,1517.22,4678.555,1864.509,A23
