TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD45RA: BB515-A-Compensated,CD123: PE-A-Compensated,CD49f: PE-Dazzle-A-Compensated,Lin Live/Dead: PE-Cy5-A-Compensated,CD90: PE-Cy7-A-Compensated,CD38: Brilliant Violet 421-A-Compensated,CD10: Brilliant Violet 605-A-Compensated,CD34: APC-A-Compensated,CD117: Brilliant Violet 785-A-Compensated,Index
2.993989,288005.4,200191,275,116558.7,63231.84,275,295.0377,40.80066,3161.008,21640.68,82.0333,805.131,955.024,-718.6973,1473.14,A21
4.44928,301691.6,225815.5,273,93352.76,57869.28,273,7349.253,165.3306,3213.818,26324.03,-492.8889,1761.056,947.3221,-669.5151,-42.00258,B21
7.072331,278443,180185.6,279,140635.9,79368.8,279,-25.24871,819.7197,1156.169,941.7419,618.155,257.5812,1709.776,6174.951,486.7199,N23
8.059978,311394.3,188848.8,289,156266.3,79737.28,289,479.3176,814.4467,1215.98,350.3385,1988.673,450.7756,2390.259,8022.768,1695.683,M23
9.904469,323081.2,228073.4,281,161088.8,89023.2,281,204.8767,568.1848,446.8119,779.8131,523.0745,432.3235,2852.308,5920.908,363.5686,L23
11.02608,349323.7,221185.4,295,133152.6,67282.88,295,176.2023,626.8606,915.9125,1179.112,1149.971,523.499,1589.03,8997.851,438.263,K23
13.44566,356002.6,208018.7,300,155887.5,78327.2,300,347.6089,1086.29,1484.349,1059.18,884.3555,367.5575,1649.601,6854.351,1019.919,J23
14.72069,381810.7,226427,303,177500.2,98673.12,303,243.934,1384.039,1593.97,1211.066,345.9158,600.6008,1037.32,9908.11,517.8401,I23
15.70901,480009.4,270475.5,326,220847.8,96902.4,326,426.6316,-35.14806,2450.592,681.5306,386.2094,14089.09,2008.476,9205.049,1192.644,H23
16.5837,652675.8,317443.8,341,295271,129339.8,341,1891.837,620.4078,1263.489,649.5803,109.2416,8639.491,2816.396,2394.632,2136.687,G23
17.90421,422419.1,290735.2,295,156841.8,74935.84,295,226.0319,1584.758,771.2638,1758.667,868.5486,738.3799,653.52,8937.858,1489.321,F23
19.16449,392038.3,263605.4,294,148893.2,71218.56,294,207.4868,1516.034,453.6507,1912.759,1835.304,975.1036,2213.182,7514.919,1260.279,E23
20.11814,368286.5,192824.8,309,169209.8,85032.64,309,206.7431,1560.741,1192.682,688.4355,209.8502,3347.068,1296.006,4613.843,1345.646,D23
21.40377,554089.6,335045.8,316,267499.1,115403.7,316,6816.329,36618.07,-372.2315,1483.682,278.5308,8829.784,1386.462,4020.104,819.1511,C23
22.58333,402424,237324.6,312,154982.5,80479.84,312,182.1561,1557.499,731.1898,143.1491,584.4257,1153.336,1793.489,4028.75,1194.075,B23
24.01817,370521.4,277351.2,281,119183.7,63652.96,281,7155.82,3314.245,1162.172,781.7314,254.6989,858.5212,3287.887,15179.92,5.429212,A23
