TIME,FSC-A,FSC-H,FSC-W,BSC-A,BSC-H,BSC-W,CD45RA: BB515-A-Compensated,CD123: PE-A-Compensated,CD49f: PE-Dazzle-A-Compensated,Lin Live/Dead: PE-Cy5-A-Compensated,CD90: PE-Cy7-A-Compensated,CD38: Brilliant Violet 421-A-Compensated,CD10: Brilliant Violet 605-A-Compensated,CD34: APC-A-Compensated,CD117: Brilliant Violet 785-A-Compensated,Index
2.404754,243977.9,142494.2,281,142566.4,69152.16,281,9048.625,311.6845,2957.856,37791.61,212.1262,332.9049,865.3742,-743.994,-261.993,A21
3.395337,291269.4,202711,275,102124,56664.16,275,34435.98,630.6331,-310.3583,6552.91,25.49548,2732.763,887.613,356.0562,820.3452,B21
6.30056,333365.5,192785.6,297,144132.2,79432.64,297,201.6142,668.897,1179.584,547.4483,801.7642,409.7337,1543.127,8544.896,1190.732,N23
7.436263,397385.5,282739.5,290,150162,72887.36,290,181.1684,947.2788,731.7966,1028.123,1114.588,212.5048,1078.663,8468.26,551.4974,M23
9.88336,321017.9,222861,283,148108,78843.52,283,237.0385,918.1024,980.5795,843.6182,-59.47837,69.74194,2036.863,6713.065,530.3312,L23
12.25154,402942.1,251414.2,302,117106,60634.56,302,197.5936,1550.116,713.4896,756.7648,1575.849,570.9981,1272.502,5406.47,998.5292,K23
13.97186,381700.7,212159.4,308,159367.3,84209.44,308,396.3924,978.9749,836.4218,1552.661,589.6886,317.433,2625.373,6970.925,748.2291,J23
16.2059,395667.6,252259.8,297,106798.3,56656.32,297,298.1342,993.158,1193.348,1271.975,1750.885,671.0528,1364.479,8783.515,533.8506,I23
17.39794,392197.3,227996.2,306,166106.5,76314.56,306,587.6557,823.5496,623.9551,494.1135,499.2769,2999.387,1605.538,7829.343,1144.468,H23
18.33971,531873.4,271270.7,332,204882,102024.2,332,621.0952,1863.168,1559.386,1138.033,1548.758,2272.665,2018.807,18643.3,670.3712,G23
19.27987,398839,235711.8,302,166143.4,84983.36,302,150.9652,886.246,1320.786,643.6046,147.9823,7683.46,1301.559,5312.648,727.5444,F23
20.63554,537628.4,342255.2,309,206726.2,93416.96,309,114.4306,785.9418,322.2687,207.458,272.9504,9860.759,3070.013,8246.84,1658.611,E23
22.49863,593538.8,277817.1,353,252979,104524,353,9024.082,1764.595,2743.138,1425.597,276.8685,6555.188,2952.566,10676.98,982.239,D23
24.42348,361398.9,194779.2,306,157941.3,74362.4,306,611.1374,4659.904,527.059,990.0762,135.0132,1645.36,2520.163,5010.194,534.3813,C23
25.58928,477270.1,295753.9,309,141952.8,67108.16,309,428.385,2353.511,1044.121,561.9142,470.2684,2575.366,774.4831,6229.798,1341.196,B23
26.98537,519193.7,264404,332,197630.9,94740.8,332,8505.565,4652.572,561.6004,1015.971,265.2047,6268.101,1350.317,6274.745,655.9321,A23
